entity,example,intent,norm
SUIT,블레이저 쟈킷,CLOTHES-TYPE,슈트
SUIT,블래이저,CLOTHES-TYPE,슈트
SUIT,블래이저 자킷,CLOTHES-TYPE,슈트
SUIT,블래이저 재킷,CLOTHES-TYPE,슈트
SUIT,블래이저 자켓,CLOTHES-TYPE,슈트
SUIT,블래이저 쟈켓,CLOTHES-TYPE,슈트
SUIT,블래이저 쟈킷,CLOTHES-TYPE,슈트
SUIT,슈트,CLOTHES-TYPE,슈트
SUIT,슈트 자킷,CLOTHES-TYPE,슈트
SUIT,슈트 재킷,CLOTHES-TYPE,슈트
SUIT,슈트 자켓,CLOTHES-TYPE,슈트
SUIT,슈트 쟈켓,CLOTHES-TYPE,슈트
SUIT,슈트 쟈킷,CLOTHES-TYPE,슈트
SUIT,수트,CLOTHES-TYPE,슈트
SUIT,수트 자킷,CLOTHES-TYPE,슈트
SUIT,수트 재킷,CLOTHES-TYPE,슈트
SUIT,수트 자켓,CLOTHES-TYPE,슈트
SUIT,수트 쟈켓,CLOTHES-TYPE,슈트
SUIT,수트 쟈킷,CLOTHES-TYPE,슈트
SUIT,마이,CLOTHES-TYPE,슈트
SUIT,투피스,CLOTHES-TYPE,슈트
SUIT,셋업,CLOTHES-TYPE,슈트
SUIT,정장,CLOTHES-TYPE,슈트
SUIT,세트,CLOTHES-TYPE,슈트
SUIT,정장세트,CLOTHES-TYPE,슈트
TRUCKERJK,트럭커 자킷,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,트럭커 재킷,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,트럭커 자켓,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,트럭커 쟈켓,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,트럭커 쟈킷,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,트러커 자킷,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,트러커 재킷,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,트러커 자켓,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,트러커 쟈켓,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,트러커 쟈킷,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,필드 자킷,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,필드 재킷,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,필드 자켓,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,필드 쟈켓,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,필드 쟈킷,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,야상,CLOTHES-TYPE,트럭커 자켓
